,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YML081C-A,14.9376760673607,-0.322600291104913,0.486154542869377,-0.663575597177111,0.506961980131446,0.833228383020852
YNL279W,270.709568074988,0.0894337209848297,0.134857112501007,0.663173927768635,0.507219167528131,0.833228383020852
YMR262W,292.9091714892,0.0837268130124885,0.126388985848699,0.662453396949625,0.50768069235509,0.833755462340986
YPL029W,571.206280853583,0.0606794220019184,0.0917225408116047,0.661554089812581,0.508257038697794,0.834470766859232
YHR214W,393.481863565861,0.0807771457926712,0.122234465772639,0.660837721031316,0.508716389280217,0.834993641446647
YER179W,141.059882117042,-0.11358532549191,0.172009132417171,-0.660344738071429,0.509032626575017,0.835177520216954
YJR080C,749.721051812759,0.0609636392182301,0.092347298145422,0.660156176114962,0.509153611983573,0.835177520216954
YOR151C,3559.02712583387,0.0384326074523516,0.0582308548547676,0.660004177307813,0.509251148652619,0.835177520216954
YER027C,905.619973556616,0.0560390527910481,0.0850220455090217,0.659112027422367,0.509823832797923,0.835308215536039
YGR109W-B,742.457164388497,-0.056475938735512,0.0856754493279705,-0.659184622648653,0.509777220260141,0.835308215536039
YMR004W,826.139815014268,0.0534079040568428,0.0810436311624466,0.659001864684347,0.509894571251795,0.835308215536039
YMR252C,114.386375745189,0.125291412576261,0.19004211687945,0.659282345585201,0.509714477038506,0.835308215536039
YHR130C,6.28928783592457,-0.515283851167441,0.782637082803344,-0.658394372678758,0.510284750423587,0.835509907079164
YKL119C,363.882853236541,-0.0782955887028541,0.119081875589271,-0.65749374802347,0.510863489666761,0.835509907079164
YKL145W,5681.82277029663,0.0380445084465122,0.0578621729409985,0.657502242186891,0.510858029735982,0.835509907079164
YKR027W,872.446244659613,0.0520406601738713,0.0791120323294136,0.657809673719162,0.510660437524536,0.835509907079164
YLR265C,524.094220148914,-0.0651457056123394,0.0990778012220242,-0.657520704020812,0.510846162829614,0.835509907079164
YML050W,177.158640990432,0.0974329952803318,0.148068432437727,0.658026789885203,0.510520916823601,0.835509907079164
YBR276C,1145.86516537594,-0.0469228435478757,0.0715400478309105,-0.655896172431711,0.511890931110202,0.836811525604015
YKR024C,1788.68781936464,-0.0451557676229275,0.068854194302141,-0.655817239321373,0.511941722935745,0.836811525604015
YDL209C,850.476103131199,-0.0527084366960002,0.0805000664166307,-0.654762648557406,0.512620582470095,0.837690155031777
YBR219C,33.749075207878,-0.222133039899801,0.339576937529912,-0.654146425595332,0.513017473642119,0.838107653328788
YDR178W,317.522843932431,0.0823881015172974,0.126009383529495,0.653825129602453,0.51322447445924,0.83821478647559
YKL135C,1089.58348875006,-0.0482379386860585,0.073823397755414,-0.653423442332968,0.513483329997607,0.838406528070472
YJR077C,4285.13693109564,-0.0416175319337702,0.063720669836601,-0.653124520512576,0.513676005466789,0.838490136161294
YDR369C,312.866854996124,-0.081184925785381,0.124347479000885,-0.652887589179056,0.513828750572956,0.838508536521451
YDL065C,764.858445998197,-0.0566435747294368,0.0867971018794792,-0.652597534974017,0.51401577515044,0.838582851449671
YCR076C,430.419834334303,0.0681214283091553,0.104535879551293,0.651655953932352,0.514623142867787,0.839111793061176
YDR002W,6454.49017441386,0.0360707647069722,0.0553426608641755,0.651771420884491,0.514548640743253,0.839111793061176
YBR012W-B,633.902402167959,0.146059643242278,0.224564039618392,0.650414213649173,0.515424698515444,0.839175159954965
YEL013W,1067.62843462094,-0.0559131217240565,0.0859831776091361,-0.650279778891486,0.515511516348241,0.839175159954965
YGR198W,1747.5094061202,0.0428105257469682,0.0658295125433764,0.650324210114111,0.5154828218691,0.839175159954965
YLL031C,1345.11588376125,-0.0450315156178646,0.0691801153494609,-0.650931490796011,0.515090712253951,0.839175159954965
YNL138W,2511.25025618799,0.0415295684019226,0.0638495131639742,0.6504288966976,0.515415216677174,0.839175159954965
YOL023W,344.503130128754,-0.0758051234668763,0.116419851638112,-0.65113571611923,0.514958882653915,0.839175159954965
YGR065C,704.030411968066,0.0586927782693058,0.0903715473868967,0.649460808920661,0.516040570265307,0.83934480240463
YJR058C,434.879624747739,0.0665000355941086,0.102376212601481,0.649565303348083,0.515973051282444,0.83934480240463
YML087C,118.466781413701,0.130580684693286,0.201007936334227,0.649629497594377,0.515931574498777,0.83934480240463
YBR197C,414.715526850056,-0.0705978326370548,0.108955257891558,-0.647952508242605,0.517015667647647,0.839347479805742
YBR198C,1944.25521525077,0.0444666078898567,0.0687536756231353,0.646752446132405,0.517792173819281,0.839347479805742
YDL195W,2885.680546679,0.0432431603381068,0.066852433152111,0.64684497331181,0.517732282187365,0.839347479805742
YDR010C,6.48507088282153,-0.466953353476208,0.721383127861586,-0.647302848432857,0.517435958378674,0.839347479805742
YDR257C,1095.27901018838,-0.048493998730234,0.0749910408135238,-0.646663897502389,0.517849493544562,0.839347479805742
YDR435C,650.299935765403,-0.0588880280174452,0.0910997233287226,-0.646412808576319,0.518012047485085,0.839347479805742
YEL051W,2807.92283879859,-0.0381670125326613,0.0589220481917751,-0.647754341608055,0.51714385076959,0.839347479805742
YHR188C,2154.42901717077,0.0434257147686479,0.0672255092893848,0.645970781444195,0.518298278145218,0.839347479805742
YJL198W,2363.63672623013,-0.0462482879032537,0.0715828866351931,-0.646080230585674,0.518227397731027,0.839347479805742
YKR054C,427.812472712853,0.0679631453820382,0.10521332210393,0.645955702405292,0.518308043882068,0.839347479805742
YLR074C,2071.40870451404,-0.0422927166900769,0.0652928296500202,-0.647739069003021,0.517153730462735,0.839347479805742
YLR348C,2778.99589429246,-0.223877518431579,0.345777809574496,-0.647460630012887,0.517333866951121,0.839347479805742
YLR459W,764.513622583653,0.0528687656553435,0.0815537604718154,0.64826888851575,0.516811052723813,0.839347479805742
YMR144W,211.87065521912,0.0872157625860931,0.13491588395241,0.64644547425459,0.517990898365817,0.839347479805742
YPL132W,392.727111337289,-0.0757948538503373,0.11687796622017,-0.648495660059294,0.516664416924934,0.839347479805742
YPR189W,1000.4323605703,-0.0511154120429429,0.0788563015480854,-0.648209604552319,0.516849390679867,0.839347479805742
YBR020W,16.1736926044752,-1.4245393650007,2.21293303961031,-0.643733605808315,0.519748194028435,0.839615030255256
YDR393W,444.572803415083,-0.0663554108769482,0.103042161586083,-0.643963692682379,0.51959897800832,0.839615030255256
YGR271W,694.869693051252,0.0630530782451693,0.0978834161338962,0.644165076532658,0.519468394625651,0.839615030255256
YIL089W,86.0900398950026,-0.134196878107036,0.208285887308216,-0.644291746509232,0.519386266657468,0.839615030255256
YJL073W,558.237478113154,-0.0590599966777351,0.0915741814791342,-0.644941573310075,0.518965049217389,0.839615030255256
YMR146C,7624.85458865164,-0.0356992296746991,0.055345823820555,-0.645021199620137,0.518913447615343,0.839615030255256
YNL075W,1544.68905660562,-0.041829760706574,0.0649216206916786,-0.644311714047144,0.519373321081081,0.839615030255256
YOR036W,1103.58014028766,0.0479076275770613,0.074419561272563,0.643750470411922,0.519737256239088,0.839615030255256
YOR344C,1033.90388212582,0.0506464481643823,0.0784740869918624,0.645390728402284,0.518674010238466,0.839615030255256
YBR123C,673.248200831756,-0.0561485439118771,0.0873210894670737,-0.643012406905999,0.520216049389831,0.839912973231688
YNL310C,294.419109455009,-0.0773983076857008,0.120358920581498,-0.643062494344095,0.520183549707791,0.839912973231688
YIL086C,2.86496393894865,0.755601828229626,1.17595892573812,0.642541003509416,0.520521974976429,0.840178035317347
YBL082C,1200.59316028977,0.0504088091236286,0.0785115064199917,0.642056322979848,0.520836613623182,0.840457013053254
YDR416W,662.194960426605,-0.0574352885017809,0.0896526106692657,-0.640642677028819,0.521754865230053,0.8409997139568
YGR240C,12406.6332918167,-0.0382050551564984,0.0596537856520811,-0.640446448433663,0.52188239377984,0.8409997139568
YJL057C,466.652604196608,0.0637417653869374,0.099451456743046,0.640933451096928,0.521565921255321,0.8409997139568
YMR005W,911.357448208913,0.048649448965228,0.075909365821752,0.640888623407355,0.52159504783615,0.8409997139568
YMR259C,1152.85881784153,-0.0465403227702219,0.0726249273089759,-0.640831247544255,0.521632328754756,0.8409997139568
YCR071C,386.080655338576,-0.0691069584924202,0.108030060824808,-0.639701190250099,0.522366881506992,0.841322963774984
YEL015W,2087.51047450205,0.0413548205454738,0.0646437814632056,0.639733932783811,0.522345590935412,0.841322963774984
YER120W,2493.41022492567,0.0480816358246813,0.0751991948541668,0.639390300892525,0.522569057051067,0.841419940543786
YJL170C,27.8935412813225,0.226727999205199,0.35483301380578,0.638970981796243,0.522841809579078,0.841630474029114
YHR089C,6837.29236905002,-0.0401340847467319,0.0628460376653465,-0.638609628190799,0.523076916198905,0.841726323112225
YOR211C,628.685879283533,0.057055622027867,0.0893668301409194,0.638442942844655,0.523185384569839,0.841726323112225
YDL054C,560.672888241161,-0.0618335001769086,0.0969315353446471,-0.637909014409554,0.523532909416552,0.841903548607046
YER051W,419.791217489222,-0.0668384261868433,0.104789155476644,-0.637837244539497,0.5235796322196,0.841903548607046
YGR263C,371.540794928968,-0.0699767256050014,0.109756545247795,-0.637563121607159,0.523758108292649,0.841962112245872
YMR287C,476.924742460262,0.0675209641251382,0.106045563161175,0.63671654062995,0.52430949748919,0.842391540151378
YNL236W,945.703410240373,-0.0503555109812006,0.0790803704073107,-0.636763721791386,0.524278759960506,0.842391540151378
YMR197C,569.972732937723,0.0577135739560654,0.0907122297971076,0.636227045516916,0.524628447679722,0.842636310662024
YPL014W,405.325113202408,0.0674981012333633,0.10612134849697,0.636046395841741,0.524746182327236,0.842636310662024
YDR079C-A,7.05920291765543,-0.468845631358911,0.737535843184322,-0.635691994757385,0.524977195123922,0.842778937025862
YGL089C,4128.45868293122,0.0485189546578277,0.0764189004786233,0.634907782681327,0.525488560904152,0.84315372941087
YML061C,751.1660254119,-0.0516650411793314,0.0813753859057274,-0.634897648770414,0.525495170650203,0.84315372941087
YDR425W,529.797439173545,0.0600137366407431,0.0946131042607464,0.634306813095889,0.525880611049637,0.843315579461904
YNL079C,6114.31780895278,-0.0376614959530786,0.0593676210490995,-0.634377717812391,0.525834347677614,0.843315579461904
YIL145C,2078.5964365679,0.0410500674784631,0.0647603446072648,0.633876606546936,0.526161353565125,0.843361637739741
YOR172W,774.739860711879,0.0545543185052484,0.0860713457755773,0.633826716820409,0.526193915363854,0.843361637739741
YGL139W,1085.96105956008,-0.0464779060068713,0.0734272231413964,-0.63297921422645,0.526747216758798,0.843792095602539
YLR193C,212.51809398027,0.0954427287314615,0.150781439368153,0.6329872504959,0.52674196879718,0.843792095602539
YKL054C,3110.11769300002,-0.0408173999379078,0.0645297304033997,-0.632536346932535,0.527036465669727,0.843915078761821
YOR147W,875.461502047887,-0.0543495274781288,0.0859382050531966,-0.632425676618285,0.527108760178212,0.843915078761821
YDR045C,166.644399226146,0.112966649190936,0.179092887178334,0.630771277244797,0.528190086417835,0.845356009355531
YJL214W,83.8510324760891,0.138409032400632,0.219483541555442,0.630612352159764,0.528294020356485,0.845356009355531
YLR208W,2027.29292469816,-0.0385346888081261,0.0611920688366452,-0.629733387687809,0.528869034238485,0.846047710102969
YHR114W,648.649427247092,0.0534678995543075,0.085063963718882,0.62856111115404,0.529636426715577,0.847046708349494
YLR250W,1514.03898215677,-0.0423224114981938,0.0673698985058603,-0.62820951844706,0.529866695675233,0.847186378545213
YCR002C,1634.38727286816,0.0407349031717633,0.0651536733100993,0.625212687209289,0.531831476094745,0.847602750879912
YGL258W-A,0.34852580359541,-1.96430803426761,3.1383116675504,-0.625912351082978,0.53137243284046,0.847602750879912
YIL102C-A,10.9787527252093,0.355396758444329,0.567541532992161,0.626203965321491,0.531181166661627,0.847602750879912
